23.08 18:50:52,Calculate fuel,"{'odo': 50, 'fuel': 55.5, 'auto': 'ГАЗон', 'consumption': 19.0, 'tank': 102, 'fuel_delta': 9.5}"
23.08 18:50:56,Added fuel to DB,"{'odo': 50, 'fuel': 55.5, 'auto': 'ГАЗон', 'consumption': 19.0, 'tank': 102, 'fuel_delta': 9.5}"
23.08 19:33:24,Calculate fuel,"{'odo': 50, 'fuel': 25.5, 'auto': 'ГАЗон', 'consumption': 19.0, 'tank': 102, 'fuel_delta': 9.5}"
23.08 19:38:18,Calculate fuel,"{'odo': 100, 'fuel': 43.0, 'auto': 'JAC', 'consumption': 20.0, 'tank': 400, 'fuel_delta': 20.0}"
23.08 19:38:25,Added fuel to DB,"{'odo': 100, 'fuel': 43.0, 'auto': 'JAC', 'consumption': 20.0, 'tank': 400, 'fuel_delta': 20.0}"
24.08 14:11:58,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'start': datetime.datetime(2023, 8, 24, 15, 0), 'end': datetime.datetime(2023, 8, 24, 17, 0), 'ttl': {'time': datetime.timedelta(seconds=7200), 'dinner': datetime.timedelta(0), 'total': datetime.timedelta(seconds=14400), 'totalfloat': 4.0, 'c': 2}}"
24.08 14:12:03,Calculated worktime,"FSMContextProxy state = 'Addtime:change_date', data = {'start': datetime.datetime(2023, 8, 22, 15, 0), 'end': datetime.datetime(2023, 8, 22, 17, 0), 'ttl': {'time': datetime.timedelta(seconds=7200), 'dinner': datetime.timedelta(0), 'total': datetime.timedelta(seconds=14400), 'totalfloat': 4.0, 'c': 2}}"
24.08 14:12:06,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'start': datetime.datetime(2023, 8, 22, 15, 0), 'end': datetime.datetime(2023, 8, 22, 17, 0), 'ttl': {'time': datetime.timedelta(seconds=7200), 'dinner': datetime.timedelta(0), 'total': datetime.timedelta(seconds=14400), 'totalfloat': 4.0, 'c': 2}}, closed = True"
24.08 17:15:28,Report WorkTime,8
24.08 17:15:30,Report WorkTime,7
24.08 17:15:34,Report WorkTime,7
24.08 17:15:36,Report WorkTime,5
24.08 17:15:48,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=36000), 'totalfloat': 10.0, 'c': 1}}"
